State,Zip_Code,Count_of_NPI
AL,36203,210
AL,36205,42
AL,36206,41
AL,36207,635
AL,36209,1
AL,36243,1
AL,36250,11
AL,36251,48
AL,36256,4
AL,36258,1
AL,36260,6
AL,36262,1
AL,36264,54
AL,36265,146
AL,36266,37
AL,36268,9
AL,36271,7
AL,36272,33
AL,36273,2
AL,36274,86
AL,36276,5
AL,36277,6
AL,36278,36
AL,36279,1
AL,36280,15
AL,36301,900
AL,36302,3
AL,36303,529
AL,36305,520
AL,36310,60
AL,36311,1
AL,36312,15
AL,36316,4
AL,36319,4
AL,36320,14
AL,36321,1
AL,36322,31
AL,36323,43
AL,36330,409
AL,36340,86
AL,36344,29
AL,36345,36
AL,36346,2
AL,36349,2
AL,36350,21
AL,36351,5
AL,36352,22
AL,36353,3
AL,36360,243
AL,36362,602
AL,36363,4
AL,36370,1
AL,36374,2
AL,36375,15
AL,36401,82
AL,36420,242
AL,36421,12
AL,36422,2
AL,36426,154
AL,36427,1
AL,36432,4
AL,36436,1
AL,36441,13
AL,36442,34
AL,36445,8
AL,36446,5
AL,36451,81
AL,36453,3
AL,36458,1
AL,36460,158
AL,36461,2
AL,36467,106
AL,36474,2
AL,36475,2
AL,36477,10
AL,36480,3
AL,36481,3
AL,36502,142
AL,36503,1
AL,36505,4
AL,36507,181
AL,36509,22
AL,36518,59
AL,36521,5
AL,36522,29
AL,36523,1
AL,36524,2
AL,36526,528
AL,36527,109
AL,36528,3
AL,36530,30
AL,36532,675
AL,36533,3
AL,36535,490
AL,36536,1
AL,36541,29
AL,36542,155
AL,36544,31
AL,36545,70
AL,36547,1
AL,36549,25
AL,36551,29
AL,36553,14
AL,36555,7
AL,36558,10
AL,36559,10
AL,36560,45
AL,36561,90
AL,36562,2
AL,36564,1
AL,36567,116
AL,36571,131
AL,36572,19
AL,36575,80
AL,36576,6
AL,36577,1
AL,36578,4
AL,36579,1
AL,36580,8
AL,36582,45
AL,36585,2
AL,36587,4
AL,36602,81
AL,36603,161
AL,36604,689
AL,36605,56
AL,36606,402
AL,36607,539
AL,36608,1273
AL,36609,513
AL,36610,23
AL,36611,19
AL,36612,13
AL,36613,45
AL,36615,16
AL,36616,1
AL,36617,641
AL,36618,64
AL,36619,112
AL,36640,3
AL,36652,2
AL,36685,6
AL,36688,124
AL,36692,18
AL,36693,250
AL,36695,400
AL,36701,321
AL,36702,5
AL,36703,32
AL,36723,1
AL,36726,46
AL,36732,121
AL,36744,94
AL,36748,36
AL,36750,7
AL,36751,1
AL,36752,2
AL,36756,48
AL,36761,1
AL,36765,2
AL,36768,6
AL,36769,5
AL,36776,2
AL,36782,1
AL,36783,1
AL,36784,78
AL,36785,1
AL,36786,19
AL,36801,699
AL,36804,21
AL,36809,1
AL,36830,512
AL,36831,3
AL,36832,125
AL,36839,1
AL,36849,269
AL,36850,2
AL,36852,2
AL,36853,79
AL,36854,169
AL,36856,9
AL,36860,5
AL,36861,1
AL,36862,23
AL,36863,31
AL,36866,10
AL,36867,265
AL,36868,1
AL,36869,43
AL,36870,34
AL,36871,1
AL,36874,7
AL,36875,7
AL,36877,31
AL,36879,3
AL,36904,71
AL,36908,14
AL,36910,1
AL,36919,1
AL,36921,3
AL,36925,30
AL,36967,3
AL,37211,1
AL,37957,1
AL,38111,1
AL,38803,1
AL,39750,1
AL,53906,1
AL,65242,1
AL,70001,1
AL,70739,1
AL,70809,1
AL,71115,1
AL,71342,1
AL,71854,1
AL,85014,1
AL,85202,1
AL,86301,1
AL,90019,1
AL,90262,1
AL,91436,1
AL,91731,1
AL,92113,1
AL,92131,1
AL,92310,1
AL,94024,1
AL,94143,1
AL,95128,1
AL,95307,1
AL,95695,1
AL,96271,1
AL,98134,1
AL,98840,1
AL,99508,1
AL,99654,1
AL,99664,1
AL,99669,1
AL,99685,1
AL,99709,1
AL,99723,1
AL,99833,1
